date﻿,unemployment rate,avg_unem,fed_funds,CPI,Oil_Price
15-Jul,5.2,5.646153846,0.13,2.130475,50.9
15-Aug,5.1,5.561538462,0.14,2.169207,42.87
15-Sep,5,5.476923077,0.14,2.268536,45.48
15-Oct,5,5.407692308,0.12,2.335492,46.22
15-Nov,5.1,5.361538462,0.12,2.394625,42.44
15-Dec,5,5.3,0.24,2.437497,37.19
16-Jan,4.8,5.238461538,0.34,2.460879,31.68
16-Feb,4.9,5.176923077,0.38,2.538253,30.32
16-Mar,5,5.138461538,0.36,2.526214,37.55
16-Apr,5.1,5.115384615,0.37,2.53143,40.75
16-May,4.8,5.069230769,0.37,2.565678,46.71
16-Jun,4.9,5.015384615,0.38,2.563629,48.76
16-Jul,4.8,4.976923077,0.39,2.569655,44.65
16-Aug,4.9,4.953846154,0.40,2.716347,44.72
16-Sep,5,4.946153846,0.40,2.624799,45.18
16-Oct,4.9,4.938461538,0.40,2.502268,49.78
16-Nov,4.7,4.915384615,0.41,2.518564,45.66
16-Dec,4.7,4.884615385,0.54,2.585286,51.97
17-Jan,4.7,4.861538462,0.65,2.651739,52.5
17-Feb,4.6,4.846153846,0.66,2.664566,53.47
17-Mar,4.4,4.807692308,0.79,2.436586,49.33
17-Apr,4.4,4.761538462,0.90,2.235672,51.06
17-May,4.4,4.707692308,0.91,2.139634,48.48
17-Jun,4.3,4.669230769,1.04,2.122109,45.18
17-Jul,4.3,4.623076923,1.15,2.131777,46.63
17-Aug,4.4,4.592307692,1.16,2.075047,48.04
17-Sep,4.3,4.546153846,1.15,2.091354,49.82
17-Oct,4.2,4.484615385,1.15,2.177581,51.58
17-Nov,4.2,4.430769231,1.16,2.099803,56.64
17-Dec,4.1,4.384615385,1.30,2.117186,57.88
18-Jan,4,4.330769231,1.41,2.157823,63.7
18-Feb,4.1,4.284615385,1.42,2.123101,62.23
18-Mar,4,4.238461538,1.51,2.366926,62.73
18-Apr,4,4.207692308,1.69,2.491592,66.25
18-May,3.8,4.161538462,1.70,2.543212,69.98
18-Jun,4,4.130769231,1.82,2.551897,67.87
18-Jul,3.8,4.092307692,1.91,2.518753,70.98
18-Aug,3.8,4.053846154,1.91,2.432443,68.06
18-Sep,3.7,4,1.95,2.462881,70.23
18-Oct,3.8,3.961538462,2.19,2.415236,70.75
18-Nov,3.8,3.930769231,2.20,2.476418,56.96
18-Dec,3.9,3.907692308,2.27,2.456173,49.52
19-Jan,4,3.9,2.40,2.375054,51.38
19-Feb,3.8,3.884615385,2.40,2.375943,54.95
19-Mar,3.8,3.861538462,2.41,2.356946,58.15
19-Apr,3.7,3.838461538,2.42,2.392773,63.86
19-May,3.6,3.807692308,2.39,2.360903,60.83
19-Jun,3.6,3.792307692,2.38,2.392597,54.66
19-Jul,3.7,3.769230769,2.40,2.475923,57.35
19-Aug,3.6,3.753846154,2.13,2.630398,54.81
19-Sep,3.5,3.730769231,2.04,2.622934,56.95
19-Oct,3.6,3.723076923,1.83,2.747596,53.96
19-Nov,3.6,3.707692308,1.55,2.772021,57.03
19-Dec,3.6,3.692307692,1.55,2.752609,59.88
20-Jan,3.6,3.669230769,1.55,2.800205,57.52
