State,Year,population,crime,foreign
New Hampshire,1980,919114,179.8,4456.574484
New Jersey,1980,7342164,604.4,10321.50739
New Mexico,1980,1295474,615,4045.237496
New York,1980,17506690,"1,029.50",13645.85767
North Carolina,1980,5843665,455,1340.905066
North Dakota,1980,652437,54,2271.17714
Ohio,1980,10766808,498.3,2806.634984
Oklahoma,1980,3001252,419.5,1875.683881
Oregon,1980,2610477,490.4,4129.705031
Pennsylvania,1980,11824220,363.9,3391.479523
Rhode Island,1980,945835,408.5,8881.147346
South Carolina,1980,3064557,660,1503.643104
South Dakota,1980,688217,126.8,1394.76357
Tennessee,1980,4545590,458.1,1064.08629
Texas,1980,14169829,550.3,6042.507641
Utah,1980,1458729,303.3,3458.558786
Vermont,1980,511299,178.8,4106.207914
Virginia,1980,5323412,307.2,3330.908823
Washington,1980,4113331,464.3,5811.834739
West Virginia,1980,1930787,183.7,1138.395898
Wisconsin,1980,4680917,182.6,2676.76184
Wyoming,1980,468954,392.6,2048.601782
"Alabama""",1990,4089000,844.2,1064.636831
Alaska,1990,570000,613.9,4353.333333
Arizona,1990,3750000,670.7,7418.8
Arkansas,1990,2372000,593.3,1048.355818
California,1990,30380000,"1,089.90",21260.12179
Colorado,1990,3377000,559.3,4217.767249
Connecticut,1990,3291000,539.7,8489.304163
Delaware,1990,680000,714.3,3275.735294
Florida,1990,13277000,"1,184.30",12522.4147
Georgia,1990,6623000,738.2,2614.011777
Hawaii,1990,1135000,241.8,14335.15419
Idaho,1990,1039000,290.3,2782.001925
Illinois,1990,11543000,"1,039.20",8249.779087
Indiana,1990,5610000,505.3,1680.26738
Iowa,1990,2795000,303.3,1549.767442
Kansas,1990,2495000,499.6,2518.637275
Kentucky,1990,3713000,438,918.9065446
Louisiana,1990,4252000,951,2055.667921
Maine,1990,1235000,132.1,2938.947368
Maryland,1990,4860000,956.2,6450.493827
Massachusetts,1990,5996000,736.1,9568.59573
Michigan,1990,9368000,803.1,3793.691289
Minnesota,1990,4432000,316,2550.518953
Mississippi,1990,2592000,389.1,786.3811728
Missouri,1990,5158000,763,1621.423032
Montana,1990,808000,139.9,1705.321782
Nebraska,1990,1593000,334.6,1770.119272
Nevada,1990,1284000,677,8164.174455
New Hampshire,1990,1105000,119.3,3727.873303
New Jersey,1990,7760000,634.8,12456.31443
New Mexico,1990,1548000,834.8,5201.162791
New York,1990,18058000,"1,163.90",15792.78436
North Carolina,1990,6737000,658.4,1708.134184
North Dakota,1990,635000,65.4,1478.425197
Ohio,1990,10939000,561.8,2373.827589
Oklahoma,1990,3175000,583.7,2062.645669
Oregon,1990,2922000,506.3,4767.522245
Pennsylvania,1990,11961000,450,3087.668255
Rhode Island,1990,1004000,462,9470.916335
South Carolina,1990,3560000,972.5,1403.483146
South Dakota,1990,703000,182.2,1099.715505
Tennessee,1990,4953000,725.9,1193.49889
Texas,1990,17349000,840.1,8786.881088
Utah,1990,1770000,286.8,3310.734463
Vermont,1990,567000,116.8,3094.179894
Virginia,1990,6286000,373.2,4960.372256
Washington,1990,5018000,522.6,6419.768832
West Virginia,1990,1801000,191,872.4042199
Wisconsin,1990,4955000,277,2453.017154
Wyoming,1990,460000,310.2,1662.391304
"Alabama""",2000,4447100,486.2,1973.69072
Alaska,2000,626932,566.9,5928.872669
Arizona,2000,5130632,531.7,12789.51599
Arkansas,2000,2673400,445.3,2756.415052
California,2000,33871648,621.6,26170.13202
Colorado,2000,4301261,334,8599.873386
Connecticut,2000,3405565,324.7,10863.60119
Delaware,2000,783600,684.4,5729.709035
Florida,2000,15982378,812,16711.08017
Georgia,2000,8186453,504.7,7051.564334
Hawaii,2000,1211537,243.8,17517.33542
Idaho,2000,1293953,252.5,4952.266427
Illinois,2000,12419293,656.8,12311.95689
Indiana,2000,6080485,349.1,3067.748708
Iowa,2000,2926324,266.4,3112.608173
Kansas,2000,2688418,389.4,5011.683451
Kentucky,2000,4041769,294.5,1986.036312
Louisiana,2000,4468976,681.1,2593.099627
Maine,2000,1274923,109.6,2877.899293
Maryland,2000,5296486,786.6,9786.016616
Massachusetts,2000,6349097,476.1,12174.69193
Michigan,2000,9938444,555,5268.319669
Minnesota,2000,4919479,280.8,5294.524075
Mississippi,2000,2844658,360.9,1402.910297
Missouri,2000,5595211,490,2702.239469
Montana,2000,902195,240.6,1817.345474
Nebraska,2000,1711263,327.6,4361.573878
Nevada,2000,1998257,524.2,15843.45757
New Hampshire,2000,1235786,175.4,4382.150308
New Jersey,2000,8414350,383.8,17545.34813
New Mexico,2000,1819046,757.9,8224.420933
New York,2000,18976457,553.9,20383.85248
North Carolina,2000,8049313,497.6,5342.070808
North Dakota,2000,642200,81.4,1886.328247
Ohio,2000,11353140,334.1,2988.41554
Oklahoma,2000,3450654,497.8,3818.029858
Oregon,2000,3421399,350.7,8467.355021
Pennsylvania,2000,12281054,420,4138.822287
Rhode Island,2000,1048319,297.7,11377.92981
South Carolina,2000,4012012,804.9,2890.769021
South Dakota,2000,754844,166.8,1787.786616
Tennessee,2000,5689283,707.2,2794.798571
Texas,2000,20851820,545.1,13905.94202
Utah,2000,2233169,255.7,7104.881001
Vermont,2000,608827,113.5,3817.997559
Virginia,2000,7078515,281.7,8056.477948
Washington,2000,5894121,369.7,10424.91323
West Virginia,2000,1808344,316.5,1072.25174
Wisconsin,2000,5363675,236.8,3612.280759
Wyoming,2000,493782,266.5,2269.22002
"Alabama""",2010,4785401,383.7,3523.132126
Alaska,2010,714146,635.3,6906.010816
Arizona,2010,6413158,413.6,13357.89637
Arkansas,2010,2921588,503.5,4506.692935
California,2010,37338198,439.6,27185.10679
Colorado,2010,5047692,323.7,9848.16427
Connecticut,2010,3575498,282,13623.83646
Delaware,2010,899792,623.3,7987.179259
Florida,2010,18838613,541.3,19417.79366
Georgia,2010,9712157,402.3,9709.058451
Hawaii,2010,1369359,262.3,18126.21818
Idaho,2010,1571102,220.5,5543.752092
Illinois,2010,12841980,444.9,13703.95375
Indiana,2010,6490622,323.3,4634.209171
Iowa,2010,3050202,268.5,4572.713545
Kansas,2010,2859143,370.8,6538.392798
Kentucky,2010,4347223,243.9,3233.857568
Louisiana,2010,4545343,555.3,3803.145329
Maine,2010,1327379,122.1,3440.31358
Maryland,2010,5785681,546.3,13891.10461
Massachusetts,2010,6555466,468.9,15003.72361
Michigan,2010,9877143,493,5950.577004
Minnesota,2010,5310658,235.7,7126.856973
Mississippi,2010,2970072,269.3,2068.232689
Missouri,2010,5995715,457.7,3878.386481
Montana,2010,990958,275.8,2021.377293
Nebraska,2010,1830141,278.3,6129.473084
Nevada,2010,2704283,663,18801.95231
New Hampshire,2010,1316807,167.4,5296.296268
New Jersey,2010,8799593,307.5,20962.11723
New Mexico,2010,2065913,588,9929.798593
New York,2010,19395206,394.4,22158.11474
North Carolina,2010,9560234,362.7,7522.169436
North Dakota,2010,674629,229.5,2466.39264
Ohio,2010,11537968,314.7,4071.323477
Oklahoma,2010,3760184,481.4,5488.614387
Oregon,2010,3838332,251.4,9789.226153
Pennsylvania,2010,12717722,366.5,5811.323758
Rhode Island,2010,1052528,257.4,12763.08089
South Carolina,2010,4637106,602.2,4711.861234
South Dakota,2010,816598,268.9,2723.249383
Tennessee,2010,6357436,612,4545.747688
Texas,2010,25253466,448.4,16401.83173
Utah,2010,2775479,213.5,8021.606361
Vermont,2010,625909,131,4403.195992
Virginia,2010,8023953,214.2,11354.98924
Washington,2010,6742950,313.5,13143.5351
West Virginia,2010,1854368,301.2,1213.944589
Wisconsin,2010,5691659,248.9,4478.83473
Wyoming,2010,564554,197.9,2806.286024
